question set,model,system,in_tok/q,out_tok/q,latency ms,cost/100q $
publaynet_figures,gpt4o-mini,baseline,484.9,4.0,1012.9,0.0075
publaynet_figures,gpt4o-mini,+KG,510.8,4.0,689.7,0.0079
publaynet_figures,gpt4o-mini,+multimodal,9476.7,11.7,1171.0,0.1429
publaynet_figures,gpt4o-mini,+both,9506.6,14.7,1213.2,0.1435
publaynet_figures,gemini-flash-lite,baseline,517.3,7.3,475.7,0.0055
publaynet_figures,gemini-flash-lite,+KG,544.9,9.7,439.8,0.0058
publaynet_figures,gemini-flash-lite,+multimodal,1601.3,26.2,685.5,0.0171
publaynet_figures,gemini-flash-lite,+both,1632.9,21.1,764.1,0.0172
publaynet_figures,llama4-scout,baseline,484.3,8.3,522.2,0.0041
publaynet_figures,llama4-scout,+KG,508.2,22.9,777.0,0.0048
publaynet_figures,llama4-scout,+multimodal,861.1,52.0,1785.8,0.0084
publaynet_figures,llama4-scout,+both,888.9,85.2,2515.2,0.0097
publaynet_figures,llama4-maverick,baseline,484.3,26.8,1108.0,0.0089
publaynet_figures,llama4-maverick,+KG,508.2,58.2,1876.0,0.0111
publaynet_figures,llama4-maverick,+multimodal,861.1,100.1,3801.3,0.0189
publaynet_figures,llama4-maverick,+both,888.9,103.0,3397.1,0.0195
spiqa_multihop_cross,gpt4o-mini,baseline,433.3,74.7,1527.9,0.011
spiqa_multihop_cross,gpt4o-mini,+KG,510.9,73.3,1383.0,0.0121
spiqa_multihop_cross,gpt4o-mini,+KGret,703.6,93.7,1665.8,0.0162
spiqa_multihop_cross,gpt4o-mini,+multimodal,659.3,88.6,2118.2,0.0152
spiqa_multihop_cross,gpt4o-mini,+both,740.9,90.3,2659.7,0.0165
spiqa_multihop_cross,gemini-flash-lite,baseline,448.3,83.7,764.4,0.0078
spiqa_multihop_cross,gemini-flash-lite,+KG,527.3,92.1,878.4,0.009
spiqa_multihop_cross,gemini-flash-lite,+KGret,732.4,101.0,835.7,0.0114
spiqa_multihop_cross,gemini-flash-lite,+multimodal,700.6,97.5,723.8,0.0109
spiqa_multihop_cross,gemini-flash-lite,+both,783.6,111.5,798.2,0.0123
spiqa_multihop_cross,llama4-scout,baseline,422.3,88.0,2678.5,0.006
spiqa_multihop_cross,llama4-scout,+KG,496.3,128.6,3722.3,0.0078
spiqa_multihop_cross,llama4-scout,+KGret,681.8,82.1,2900.9,0.0079
spiqa_multihop_cross,llama4-scout,+multimodal,646.0,116.5,3804.3,0.0087
spiqa_multihop_cross,llama4-scout,+both,724.0,164.2,5322.6,0.0107
spiqa_multihop_cross,llama4-maverick,baseline,422.3,116.7,1497.4,0.0133
spiqa_multihop_cross,llama4-maverick,+KG,496.3,198.7,2463.5,0.0194
spiqa_multihop_cross,llama4-maverick,+KGret,681.8,151.0,1772.1,0.0193
spiqa_multihop_cross,llama4-maverick,+multimodal,646.0,188.1,3583.0,0.021
spiqa_multihop_cross,llama4-maverick,+both,724.0,192.0,3222.9,0.0224
hotpotqa_bridge,gpt4o-mini,baseline,324.1,15.5,705.6,0.0058
hotpotqa_bridge,gpt4o-mini,+KG,394.1,15.1,746.9,0.0068
hotpotqa_bridge,gpt4o-mini,+KGret,527.2,20.4,939.8,0.0091
hotpotqa_bridge,gemini-flash-lite,baseline,341.7,10.5,539.7,0.0038
hotpotqa_bridge,gemini-flash-lite,+KG,415.0,13.4,664.1,0.0047
hotpotqa_bridge,gemini-flash-lite,+KGret,558.9,15.4,563.3,0.0062
hotpotqa_bridge,llama4-scout,baseline,331.6,20.7,805.8,0.0033
hotpotqa_bridge,llama4-scout,+KG,401.6,41.5,1102.3,0.0045
hotpotqa_bridge,llama4-scout,+KGret,536.3,29.5,953.6,0.0052
hotpotqa_bridge,llama4-maverick,baseline,331.6,45.6,932.1,0.0077
hotpotqa_bridge,llama4-maverick,+KG,401.6,79.2,1333.6,0.0108
hotpotqa_bridge,llama4-maverick,+KGret,536.3,64.7,1460.4,0.0119
