model,vendor,access,system,recall,complete,mrr,acc,faith,rel,mean_in_tok,cost_per_100q_usd
gpt4o-mini,OpenAI,closed,baseline,0.0,0.0,0.0,0.2,0.429,0.429,449.6,0.0086
gpt4o-mini,OpenAI,closed,+KG,0.0,0.0,0.0,0.114,0.286,0.343,478.3,0.0085
gpt4o-mini,OpenAI,closed,+multimodal,0.257,0.257,0.186,0.371,0.229,0.714,9765.2,0.1504
gpt4o-mini,OpenAI,closed,+both,0.257,0.257,0.186,0.4,0.257,0.743,9797.9,0.1511
gemini-flash-lite,Google,closed,baseline,0.0,0.0,0.0,0.2,0.343,0.486,477.9,0.0064
gemini-flash-lite,Google,closed,+KG,0.0,0.0,0.0,0.171,0.4,0.571,508.4,0.0068
gemini-flash-lite,Google,closed,+multimodal,0.257,0.257,0.186,0.314,0.257,0.8,1568.1,0.0188
gemini-flash-lite,Google,closed,+both,0.257,0.257,0.186,0.257,0.229,0.8,1602.6,0.0194
llama4-scout,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.143,0.371,0.657,451.0,0.0054
llama4-scout,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.2,0.4,0.571,477.5,0.0058
llama4-scout,Meta/DeepInfra,open,+multimodal,0.257,0.257,0.186,0.257,0.143,0.543,869.1,0.0106
llama4-scout,Meta/DeepInfra,open,+both,0.257,0.257,0.186,0.2,0.143,0.657,899.7,0.0112
llama4-maverick,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.171,0.343,0.571,451.0,0.0111
llama4-maverick,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.143,0.314,0.571,477.5,0.0131
llama4-maverick,Meta/DeepInfra,open,+multimodal,0.257,0.257,0.186,0.257,0.2,0.714,869.1,0.0213
llama4-maverick,Meta/DeepInfra,open,+both,0.257,0.257,0.186,0.257,0.257,0.714,899.7,0.0226
gpt4o-mini,OpenAI,closed,baseline,0.0,0.0,0.0,0.0,0.0,0.0,484.9,0.0075
gpt4o-mini,OpenAI,closed,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,0.0079
gpt4o-mini,OpenAI,closed,+multimodal,0.371,0.371,0.286,0.086,0.057,0.2,9476.7,0.1429
gpt4o-mini,OpenAI,closed,+both,0.371,0.371,0.286,0.114,0.114,0.257,9506.6,0.1435
gemini-flash-lite,Google,closed,baseline,0.0,0.0,0.0,0.0,0.0,0.029,517.3,0.0055
gemini-flash-lite,Google,closed,+KG,0.0,0.0,0.0,0.0,0.0,0.086,544.9,0.0058
gemini-flash-lite,Google,closed,+multimodal,0.371,0.371,0.286,0.057,0.171,0.6,1601.3,0.0171
gemini-flash-lite,Google,closed,+both,0.371,0.371,0.286,0.086,0.086,0.286,1632.9,0.0172
llama4-scout,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.0,0.0,0.114,484.3,0.0041
llama4-scout,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.0,0.0,0.086,508.2,0.0048
llama4-scout,Meta/DeepInfra,open,+multimodal,0.371,0.371,0.286,0.114,0.114,0.429,861.1,0.0084
llama4-scout,Meta/DeepInfra,open,+both,0.371,0.371,0.286,0.057,0.086,0.457,888.9,0.0097
llama4-maverick,Meta/DeepInfra,open,baseline,0.0,0.0,0.0,0.0,0.0,0.371,484.3,0.0089
llama4-maverick,Meta/DeepInfra,open,+KG,0.0,0.0,0.0,0.0,0.0,0.2,508.2,0.0111
llama4-maverick,Meta/DeepInfra,open,+multimodal,0.371,0.371,0.286,0.086,0.114,0.6,861.1,0.0189
llama4-maverick,Meta/DeepInfra,open,+both,0.371,0.371,0.286,0.086,0.171,0.514,888.9,0.0195
gpt4o,OpenAI,diagnostic,baseline,0.0,0.0,0.0,0.0,0.0,0.0,484.9,0.1252
gpt4o,OpenAI,diagnostic,+KG,0.0,0.0,0.0,0.0,0.0,0.0,510.8,0.1317
gpt4o,OpenAI,diagnostic,+multimodal,0.371,0.371,0.286,0.143,0.171,0.886,760.5,0.22
gpt4o,OpenAI,diagnostic,+both,0.371,0.371,0.286,0.143,0.086,0.8,790.4,0.2291
